"season_year","season_type","game_date","game_id","team_id","team_abbreviation","matchup","event","win_tip_prob_xtip","spread","ftts","ftts_prob_glmnet","ftts_prob_earth","model","ftts_prob"
"2018-19","Regular Season",2018-10-24,"0021800061","1610612763","MEM","MEM @ SAC","points",0.68154744780278,-3,FALSE,0.536811861073178,0.499236038683919,"points",0.518023949878548
"2018-19","Regular Season",2018-10-24,"0021800052","1610612737","ATL","ATL vs. DAL","fgm",0.296159233627975,2,FALSE,0.469179166977779,0.405430433139247,"fgm",0.437304800058513
"2018-19","Regular Season",2018-10-24,"0021800053","1610612739","CLE","CLE vs. BKN","fgm",0.369517327652635,-2.5,TRUE,0.475454654757092,0.408639068352449,"fgm",0.44204686155477
"2018-19","Regular Season",2018-10-24,"0021800054","1610612748","MIA","MIA vs. NYK","fgm",0.700426589967739,-8,TRUE,0.541536390321888,0.629297277761962,"fgm",0.585416834041925
"2018-19","Regular Season",2018-10-24,"0021800056","1610612741","CHI","CHI vs. CHA","fgm",0.572722580957372,4,FALSE,0.505680979675045,0.500769905369816,"fgm",0.50322544252243
"2018-19","Regular Season",2018-10-24,"0021800061","1610612758","SAC","SAC vs. MEM","fgm",0.31845255219722,3,TRUE,0.464593857600842,0.41066085531291,"fgm",0.437627356456876
"2018-19","Regular Season",2018-10-24,"0021800055","1610612750","MIN","MIN @ TOR","fgm",0.519629271466826,8.5,FALSE,0.495839523680224,0.415682994611426,"fgm",0.455761259145825
"2018-19","Regular Season",2018-10-24,"0021800058","1610612754","IND","IND @ SAS","fgm",0.628417218157251,1.5,FALSE,0.519782595672028,0.573433363375249,"fgm",0.546607979523639
"2018-19","Regular Season",2018-10-24,"0021800060","1610612747","LAL","LAL @ PHX","fgm",0.213814743798055,-5,TRUE,0.45866535516127,0.420677918555082,"fgm",0.439671636858176
"2018-19","Regular Season",2018-10-24,"0021800055","1610612761","TOR","TOR vs. MIN","fgm",0.480370728533174,-8.5,TRUE,0.504295477956453,0.554494463098496,"fgm",0.529394970527475
"2018-19","Regular Season",2018-10-24,"0021800058","1610612759","SAS","SAS vs. IND","fgm",0.371582781842749,-1.5,TRUE,0.478730390044578,0.403811010532576,"fgm",0.441270700288577
"2018-19","Regular Season",2018-10-24,"0021800060","1610612756","PHX","PHX vs. LAL","fgm",0.786185256201945,5,FALSE,0.537892607180386,0.572833166709773,"fgm",0.55536288694508
"2018-19","Regular Season",2018-10-24,"0021800052","1610612742","DAL","DAL @ ATL","fgm",0.703840766372025,-2,TRUE,0.530070002825244,0.587641614302237,"fgm",0.55885580856374
"2018-19","Regular Season",2018-10-24,"0021800053","1610612751","BKN","BKN @ CLE","fgm",0.630482672347365,2.5,FALSE,0.51819021904837,0.567791851706098,"fgm",0.542991035377234
"2018-19","Regular Season",2018-10-24,"0021800054","1610612752","NYK","NYK @ MIA","fgm",0.299573410032261,8,FALSE,0.455758424635466,0.312189002208187,"fgm",0.383973713421827
"2018-19","Regular Season",2018-10-24,"0021800056","1610612766","CHA","CHA @ CHI","fgm",0.427277419042628,-4,TRUE,0.489841763572466,0.496798195669634,"fgm",0.49331997962105
"2018-19","Regular Season",2018-10-24,"0021800061","1610612763","MEM","MEM @ SAC","fgm",0.68154744780278,-3,FALSE,0.527278395993108,0.543887323150657,"fgm",0.535582859571883
"2018-19","Regular Season",2018-10-25,"0021800064","1610612753","ORL","ORL vs. POR","points",0.307684625980923,3.5,FALSE,0.455576738778643,0.407399185602198,"points",0.431487962190421
"2018-19","Regular Season",2018-10-25,"0021800063","1610612739","CLE","CLE @ DET","points",0.1712509795854,9.5,FALSE,0.420041500648608,0.300077046311909,"points",0.360059273480258
"2018-19","Regular Season",2018-10-25,"0021800065","1610612738","BOS","BOS @ OKC","points",0.321671722069259,1,FALSE,0.462385058361726,0.402103130157794,"points",0.43224409425976
"2018-19","Regular Season",2018-10-25,"0021800066","1610612743","DEN","DEN @ LAL","points",0.308717500250067,-1,TRUE,0.466627030096044,0.463565326032395,"points",0.465096178064219
"2018-19","Regular Season",2018-10-25,"0021800063","1610612765","DET","DET vs. CLE","points",0.8287490204146,-9.5,TRUE,0.571190895076145,0.668935213512159,"points",0.620063054294152
"2018-19","Regular Season",2018-10-25,"0021800065","1610612760","OKC","OKC vs. BOS","points",0.678328277930741,-1,TRUE,0.534419613713836,0.503599305807716,"points",0.519009459760776
"2018-19","Regular Season",2018-10-25,"0021800066","1610612747","LAL","LAL vs. DEN","points",0.691282499749933,1,FALSE,0.535055553973396,0.572647170717336,"points",0.553851362345366
"2018-19","Regular Season",2018-10-25,"0021800064","1610612757","POR","POR @ ORL","points",0.692315374019077,-3.5,TRUE,0.541227142519852,0.549491823019687,"points",0.54535948276977
"2018-19","Regular Season",2018-10-25,"0021800064","1610612753","ORL","ORL vs. POR","fgm",0.307684625980923,3.5,FALSE,0.459163945255917,0.47190863243551,"fgm",0.465536288845714
"2018-19","Regular Season",2018-10-25,"0021800063","1610612739","CLE","CLE @ DET","fgm",0.1712509795854,9.5,FALSE,0.428806664425168,0.445775532991114,"fgm",0.437291098708141
"2018-19","Regular Season",2018-10-25,"0021800065","1610612738","BOS","BOS @ OKC","fgm",0.321671722069259,1,FALSE,0.46464432995163,0.481544391905023,"fgm",0.473094360928326
"2018-19","Regular Season",2018-10-25,"0021800066","1610612743","DEN","DEN @ LAL","fgm",0.308717500250067,-1,TRUE,0.47114378771297,0.372832262334537,"fgm",0.421988025023753
"2018-19","Regular Season",2018-10-25,"0021800063","1610612765","DET","DET vs. CLE","fgm",0.8287490204146,-9.5,TRUE,0.554518461512067,0.574471886641796,"fgm",0.564495174076932
"2018-19","Regular Season",2018-10-25,"0021800065","1610612760","OKC","OKC vs. BOS","fgm",0.678328277930741,-1,TRUE,0.529011146133891,0.560558783571068,"fgm",0.544784964852479
"2018-19","Regular Season",2018-10-25,"0021800066","1610612747","LAL","LAL vs. DEN","fgm",0.691282499749933,1,FALSE,0.531473584913789,0.547912805214147,"fgm",0.539693195063968
"2018-19","Regular Season",2018-10-25,"0021800064","1610612757","POR","POR @ ORL","fgm",0.692315374019077,-3.5,TRUE,0.534487150086066,0.516087001649514,"fgm",0.52528707586779
"2018-19","Regular Season",2018-10-26,"0021800070","1610612745","HOU","HOU vs. LAC","points",0.140499517407066,-4,FALSE,0.441101248458772,0.476645303146224,"points",0.458873275802498
"2018-19","Regular Season",2018-10-26,"0021800072","1610612740","NOP","NOP vs. BKN","points",0.596210300742839,-8.5,TRUE,0.532677111978054,0.588456160656756,"points",0.560566636317405
"2018-19","Regular Season",2018-10-26,"0021800073","1610612758","SAC","SAC vs. WAS","points",0.66263411836118,5,TRUE,0.518704933232036,0.468248186895507,"points",0.493476560063772
"2018-19","Regular Season",2018-10-26,"0021800067","1610612741","CHI","CHI @ CHA","points",0.485861070324299,10.5,TRUE,0.475728225845658,0.516794830706691,"points",0.496261528276175
"2018-19","Regular Season",2018-10-26,"0021800068","1610612744","GSW","GSW @ NYK","points",0.751620255390663,-11.5,FALSE,0.568744647841714,0.640275836224995,"points",0.604510242033355
"2018-19","Regular Season",2018-10-26,"0021800069","1610612742","DAL","DAL @ TOR","points",0.676436408702997,11,FALSE,0.51428318742544,0.455027049980864,"points",0.484655118703152
"2018-19","Regular Season",2018-10-26,"0021800071","1610612749","MIL","MIL @ MIN","points",0.663740836188857,-2,TRUE,0.537766996430206,0.556819847245925,"points",0.547293421838066
"2018-19","Regular Season",2018-10-26,"0021800067","1610612766","CHA","CHA vs. CHI","points",0.514138929675701,-10.5,FALSE,0.516615166162667,0.601683356656521,"points",0.559149261409594
"2018-19","Regular Season",2018-10-26,"0021800068","1610612752","NYK","NYK vs. GSW","points",0.248379744609337,11.5,TRUE,0.42991273047795,0.261832607092696,"points",0.345872668785323
"2018-19","Regular Season",2018-10-26,"0021800069","1610612761","TOR","TOR vs. DAL","points",0.323563591297003,-11,TRUE,0.486329534112025,0.497081685440417,"points",0.491705609776221
"2018-19","Regular Season",2018-10-26,"0021800071","1610612750","MIN","MIN vs. MIL","points",0.336259163811143,2,FALSE,0.46472254517319,0.362449252846276,"points",0.413585899009733
"2018-19","Regular Season",2018-10-26,"0021800070","1610612746","LAC","LAC @ HOU","points",0.859500482592934,4,TRUE,0.558447145526778,0.480095283886694,"points",0.519271214706736
"2018-19","Regular Season",2018-10-26,"0021800072","1610612751","BKN","BKN @ NOP","points",0.403789699257161,8.5,FALSE,0.467917678637353,0.469172517987269,"points",0.468545098312311
"2018-19","Regular Season",2018-10-26,"0021800073","1610612764","WAS","WAS @ SAC","points",0.33736588163882,-5,FALSE,0.476036716831319,0.514984439610781,"points",0.49551057822105
"2018-19","Regular Season",2018-10-26,"0021800070","1610612745","HOU","HOU vs. LAC","fgm",0.140499517407066,-4,FALSE,0.452329793570028,0.408908166328092,"fgm",0.43061897994906
"2018-19","Regular Season",2018-10-26,"0021800072","1610612740","NOP","NOP vs. BKN","fgm",0.596210300742839,-8.5,TRUE,0.520412963114379,0.546928846563361,"fgm",0.53367090483887
"2018-19","Regular Season",2018-10-26,"0021800073","1610612758","SAC","SAC vs. WAS","fgm",0.66263411836118,5,TRUE,0.516377345279777,0.482864299268673,"fgm",0.499620822274225
"2018-19","Regular Season",2018-10-26,"0021800067","1610612741","CHI","CHI @ CHA","fgm",0.485861070324299,10.5,TRUE,0.486123701169429,0.637646383956769,"fgm",0.561885042563099
"2018-19","Regular Season",2018-10-26,"0021800068","1610612744","GSW","GSW @ NYK","fgm",0.751620255390663,-11.5,FALSE,0.54713021395513,0.517627910232573,"fgm",0.532379062093852
"2018-19","Regular Season",2018-10-26,"0021800069","1610612742","DAL","DAL @ TOR","fgm",0.676436408702997,11,FALSE,0.516730736446293,0.581256744327859,"fgm",0.548993740387076
"2018-19","Regular Season",2018-10-26,"0021800071","1610612749","MIL","MIL @ MIN","fgm",0.663740836188857,-2,TRUE,0.528428857933524,0.609503226229652,"fgm",0.568966042081588
"2018-19","Regular Season",2018-10-26,"0021800067","1610612766","CHA","CHA vs. CHI","fgm",0.514138929675701,-10.5,FALSE,0.506259660402731,0.584485410275287,"fgm",0.545372535339009
"2018-19","Regular Season",2018-10-26,"0021800068","1610612752","NYK","NYK vs. GSW","fgm",0.248379744609337,11.5,TRUE,0.451135903522239,0.43171125544689,"fgm",0.441423579484565
"2018-19","Regular Season",2018-10-26,"0021800069","1610612761","TOR","TOR vs. DAL","fgm",0.323563591297003,-11,TRUE,0.483365851827471,0.542228900932783,"fgm",0.512797376380127
"2018-19","Regular Season",2018-10-26,"0021800071","1610612750","MIN","MIN vs. MIL","fgm",0.336259163811143,2,FALSE,0.473422737182199,0.346330685422282,"fgm",0.40987671130224
"2018-19","Regular Season",2018-10-26,"0021800070","1610612746","LAC","LAC @ HOU","fgm",0.859500482592934,4,TRUE,0.546777050306555,0.518650914584346,"fgm",0.53271398244545
"2018-19","Regular Season",2018-10-26,"0021800072","1610612751","BKN","BKN @ NOP","fgm",0.403789699257161,8.5,FALSE,0.479668778994708,0.515149393832201,"fgm",0.497409086413454
"2018-19","Regular Season",2018-10-26,"0021800073","1610612764","WAS","WAS @ SAC","fgm",0.33736588163882,-5,FALSE,0.478248074938447,0.484927138084975,"fgm",0.481587606511711
"2018-19","Regular Season",2018-10-27,"0021800075","1610612740","NOP","NOP vs. UTA","points",0.296209139656011,6,TRUE,0.449474014283875,0.472985677249377,"points",0.461229845766626
"2018-19","Regular Season",2018-10-27,"0021800076","1610612737","ATL","ATL vs. CHI","points",0.542640198566805,-5.5,FALSE,0.52544992104289,0.593988163628366,"points",0.559719042335628
"2018-19","Regular Season",2018-10-27,"0021800077","1610612739","CLE","CLE vs. IND","points",0.439071895954324,7,TRUE,0.465529645162266,0.452950161819739,"points",0.459239903491003
"2018-19","Regular Season",2018-10-27,"0021800078","1610612755","PHI","PHI vs. CHA","points",0.724399711723076,-7.5,TRUE,0.567378966491408,0.631538860970666,"points",0.599458913731037
"2018-19","Regular Season",2018-10-27,"0021800079","1610612748","MIA","MIA vs. POR","points",0.420758398796424,-1.5,TRUE,0.49177616507139,0.523027384234129,"points",0.507401774652759
"2018-19","Regular Season",2018-10-27,"0021800081","1610612749","MIL","MIL vs. ORL","points",0.715712018093332,-9,FALSE,0.567652100515767,0.629681946463516,"points",0.598667023489642
"2018-19","Regular Season",2018-10-27,"0021800074","1610612738","BOS","BOS @ DET","points",0.16968988983511,-3.5,FALSE,0.431495942223166,0.391896440712794,"points",0.41169619146798
