"date","book","game","prop_type","bet_level_1","bet_level_2","bet_level_3","bet_location","bet_status","prob_model","line_model","prob_book","line_book","edge","kelly","units","run_timestamp_utc","timestamp_id","play","result","units_bet","units_net"
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0067,14800,0.004,25000,0.0027,0.0014,0.1369,2023-10-25 20:46:03,1,"Clint Capela_three_point","Loss",0.1369,-0.1369
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0067,14750,0.004,25000,0.0028,0.0014,0.1381,2023-10-25 23:11:45,3,"Clint Capela_three_point","Loss",0.00120000000000001,-0.00120000000000001
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0177,5562,0.0164,6000,0.0013,6e-04,0.0644,2023-10-25 20:46:03,1,"De'Andre Hunter_layup","Loss",0.0644,-0.0644
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0177,5543,0.0164,6000,0.0013,7e-04,0.0675,2023-10-25 23:11:45,3,"De'Andre Hunter_layup","Loss",0.00310000000000001,-0.00310000000000001
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0353,2730,0.0323,3000,0.0031,0.0016,0.1588,2023-10-25 20:46:03,1,"Mark Williams_other_fg","Loss",0.1588,-0.1588
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0066,15138,0.004,25000,0.0026,0.0013,0.1294,2023-10-25 20:46:03,1,"Mark Williams_three_point","Loss",0.1294,-0.1294
2023-10-25,"FanDuel","ATL @ CHA","FPTS Exact","First Points","Player","Exact","Home/Away","Favorite/Underdog",0.0045,22353,0.004,25000,5e-04,2e-04,0.0236,2023-10-25 20:46:03,1,"Terry Rozier_dunk","Loss",0.0236,-0.0236
2023-10-25,"FanDuel","ATL @ CHA","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.1833,445,0.1818,450,0.0015,9e-04,0.0927,2023-10-25 20:46:03,1,"Clint Capela","Loss",0.0927,-0.0927
2023-10-25,"Draft Kings","ATL @ CHA","FPTS Team","First FGM","Player","Team","Home/Away","Favorite/Underdog",0.207,383,0.1818,450,0.0251,0.0154,1.5362,2023-10-25 20:46:03,1,"De'Andre Hunter","Loss",1.5362,-1.5362
2023-10-25,"FanDuel","ATL @ CHA","FPTS Team","First Points","Player","Team","Home/Away","Favorite/Underdog",0.2237,347,0.2174,360,0.0063,0.004,0.4033,2023-10-25 20:46:03,1,"Mark Williams","Win",0.4033,1.45188
