"game_id","date","sport","bet_type","away","home","away_line","home_line"
"20210513_nba_Milwaukee_Indiana",20210513,"nba","spread","Milwaukee","Indiana",-9.5,9.5
"20210513_nba_L.A. Clippers_Charlotte",20210513,"nba","spread","L.A. Clippers","Charlotte",-9,9
"20210513_nba_Orlando_Atlanta",20210513,"nba","spread","Orlando","Atlanta",13.5,-13.5
"20210513_nba_Philadelphia_Miami",20210513,"nba","spread","Philadelphia","Miami",1,-1
"20210513_nba_San Antonio_New York",20210513,"nba","spread","San Antonio","New York",4.5,-4.5
"20210513_nba_Sacramento_Memphis",20210513,"nba","spread","Sacramento","Memphis",8.5,-8.5
"20210513_nba_Denver_Minnesota",20210513,"nba","spread","Denver","Minnesota",-2,2
"20210513_nba_Toronto_Chicago",20210513,"nba","spread","Toronto","Chicago",10.5,-10.5
"20210513_nba_Portland_Phoenix",20210513,"nba","spread","Portland","Phoenix",2.5,-2.5
"20210514_nba_Cleveland_Washington",20210514,"nba","spread","Cleveland","Washington",9,-9
"20210514_nba_Utah_Oklahoma City",20210514,"nba","spread","Utah","Oklahoma City",-15,15
"20210514_nba_Orlando_Philadelphia",20210514,"nba","spread","Orlando","Philadelphia",14.5,-14.5
"20210514_nba_Denver_Detroit",20210514,"nba","spread","Denver","Detroit",-9,9
"20210514_nba_L.A. Clippers_Houston",20210514,"nba","spread","L.A. Clippers","Houston",-7,7
"20210514_nba_Sacramento_Memphis",20210514,"nba","spread","Sacramento","Memphis",3.5,-3.5
"20210514_nba_Toronto_Dallas",20210514,"nba","spread","Toronto","Dallas",15,-15
"20210514_nba_New Orleans_Golden State",20210514,"nba","spread","New Orleans","Golden State",1,-1
"20210515_nba_L.A. Lakers_Indiana",20210515,"nba","spread","L.A. Lakers","Indiana",-8.5,8.5
"20210515_nba_Chicago_Brooklyn",20210515,"nba","spread","Chicago","Brooklyn",11,-11
"20210515_nba_Charlotte_New York",20210515,"nba","spread","Charlotte","New York",5.5,-5.5
"20210515_nba_Boston_Minnesota",20210515,"nba","spread","Boston","Minnesota",5,-5
