,GAME_ID,SBR_GAME_ID,DATE,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,away_prob,away_spread,away_total,date_m,TEAM1_10wp,TEAM1_25wp,TEAM1_50wp,TEAM1_75wp,TEAM1_100wp,TEAM2_10wp,TEAM2_25wp,TEAM2_50wp,TEAM2_75wp,TEAM2_100wp
2865,21400081,20141107_nba_Cleveland_Denver,20141107.0,1610612739,1610612739,110.0,101.0,1,0.7340425531914894,-6.5,211.0,2014-11-07,,,,,,,,,,
6921,21400073,20141107_nba_Chicago_Philadelphia,20141107.0,1610612741,1610612741,118.0,115.0,1,0.8571428571428572,-10.0,189.0,2014-11-07,,,,,,,,,,
6372,21400071,20141107_nba_Atlanta_Charlotte,20141107.0,1610612737,1610612737,119.0,122.0,2,0.4878048780487805,1.5,194.5,2014-11-07,,,,,,,,,,
3340,21400083,20141108_nba_Washington_Indiana,20141108.0,1610612764,1610612764,97.0,90.0,1,0.6226415094339622,-3.5,182.5,2014-11-08,,,,,,,,,,
4685,21400084,20141108_nba_New York_Atlanta,20141108.0,1610612752,1610612752,96.0,103.0,2,0.2941176470588235,6.5,194.5,2014-11-08,,,,,,,,,,
5185,21400089,20141108_nba_New Orleans_San Antonio,20141108.0,1610612740,1610612740,100.0,99.0,1,0.273972602739726,7.0,195.0,2014-11-08,,,,,,,,,,
3470,21400082,20141108_nba_Portland_L.A. Clippers,20141108.0,1610612757,1610612757,102.0,106.0,2,0.3831417624521073,4.5,205.0,2014-11-08,,,,,,,,,,
3958,21400086,20141108_nba_Boston_Chicago,20141108.0,1610612738,1610612738,106.0,101.0,1,0.2083333333333333,9.5,194.0,2014-11-08,,,,,,,,,,
4569,21400085,20141108_nba_Minnesota_Miami,20141108.0,1610612750,1610612750,92.0,102.0,2,0.2538071065989847,7.5,205.0,2014-11-08,,,,,,,,,,
5265,21400088,20141108_nba_Memphis_Milwaukee,20141108.0,1610612763,1610612763,92.0,93.0,2,0.6666666666666667,-4.5,186.5,2014-11-08,,,,,,,,,,
5562,21400101,20141110_nba_Detroit_Chicago,20141110.0,1610612765,1610612765,91.0,102.0,2,0.1886792452830188,10.0,190.0,2014-11-10,,,,,,,,,,
7001,21400099,20141110_nba_Utah_Indiana,20141110.0,1610612762,1610612762,86.0,97.0,2,0.4255319148936169,3.0,186.5,2014-11-10,,,,,,,,,,
6027,21400100,20141110_nba_Atlanta_New York,20141110.0,1610612737,1610612737,91.0,85.0,1,0.5652173913043478,-2.0,197.5,2014-11-10,,,,,,,,,,
7140,21400106,20141111_nba_Sacramento_Dallas,20141111.0,1610612758,1610612758,98.0,106.0,2,0.2469135802469135,8.0,206.0,2014-11-11,,,,,,,,,,
3171,21400108,20141111_nba_San Antonio_Golden State,20141111.0,1610612759,1610612759,113.0,100.0,1,0.2631578947368421,7.5,201.5,2014-11-11,,,,,,,,,,
6140,21400104,20141111_nba_L.A. Lakers_Memphis,20141111.0,1610612747,1610612747,102.0,107.0,2,0.1694915254237288,10.0,197.0,2014-11-11,,,,,,,,,,
5467,21400103,20141111_nba_Orlando_Toronto,20141111.0,1610612753,1610612753,100.0,104.0,2,0.16,10.5,198.0,2014-11-11,,,,,,,,,,
6580,21400105,20141111_nba_Oklahoma City_Milwaukee,20141111.0,1610612760,1610612760,78.0,85.0,2,0.4761904761904761,2.0,191.0,2014-11-11,,,,,,,,,,
3141,21400120,20141113_nba_Philadelphia_Dallas,20141113.0,1610612755,1610612755,70.0,123.0,2,0.0909090909090909,13.5,210.5,2014-11-13,,,,,,,,,,
5584,21400129,20141114_nba_Detroit_Oklahoma City,20141114.0,1610612765,1610612765,96.0,89.0,1,0.4255319148936169,3.0,188.5,2014-11-14,,,,,,,,,,
4243,21400130,20141114_nba_Charlotte_Phoenix,20141114.0,1610612766,1610612766,103.0,95.0,1,0.3125,6.5,200.0,2014-11-14,,,,,,,,,,
4258,21400124,20141114_nba_Miami_Atlanta,20141114.0,1610612748,1610612748,103.0,114.0,2,0.364963503649635,5.0,193.0,2014-11-14,,,,,,,,,,
2538,21400123,20141114_nba_Milwaukee_Orlando,20141114.0,1610612749,1610612749,85.0,101.0,2,0.4444444444444444,2.5,194.0,2014-11-14,,,,,,,,,,
3765,21400125,20141114_nba_Cleveland_Boston,20141114.0,1610612739,1610612739,122.0,121.0,1,0.7134670487106017,-6.0,208.5,2014-11-14,,,,,,,,,,
3050,21400136,20141115_nba_Detroit_Memphis,20141115.0,1610612765,1610612765,88.0,95.0,2,0.2083333333333333,9.0,186.5,2014-11-15,,,,,,,,,,
3155,21400134,20141115_nba_Utah_Toronto,20141115.0,1610612762,1610612762,93.0,111.0,2,0.1592356687898088,11.5,201.5,2014-11-15,,,,,,,,,,
4381,21400132,20141115_nba_Orlando_Washington,20141115.0,1610612753,1610612753,93.0,98.0,2,0.2092050209205019,9.0,194.5,2014-11-15,,,,,,,,,,
4866,21400133,20141115_nba_Atlanta_Cleveland,20141115.0,1610612737,1610612737,94.0,127.0,2,0.2857142857142857,7.0,209.0,2014-11-15,,,,,,,,,,
3652,21400135,20141115_nba_Indiana_Chicago,20141115.0,1610612754,1610612754,99.0,90.0,1,0.2197802197802197,8.5,180.5,2014-11-15,,,,,,,,,,
6603,21400139,20141115_nba_San Antonio_Sacramento,20141115.0,1610612759,1610612759,91.0,94.0,2,0.5454545454545454,-1.5,196.0,2014-11-15,,,,,,,,,,
2531,21400137,20141115_nba_Minnesota_Dallas,20141115.0,1610612750,1610612750,117.0,131.0,2,0.1479289940828402,11.5,211.0,2014-11-15,,,,,,,,,,
1947,21400145,20141116_nba_Golden State_L.A. Lakers,20141116.0,1610612744,1610612744,136.0,115.0,1,0.803921568627451,-8.0,212.5,2014-11-16,,,,,,,,,,
675,21400143,20141116_nba_Milwaukee_Miami,20141116.0,1610612749,1610612749,91.0,84.0,1,0.3571428571428571,5.0,189.5,2014-11-16,,,,,,,,,,
1193,21400142,20141116_nba_Denver_New York,20141116.0,1610612743,1610612743,93.0,109.0,2,0.4761904761904761,2.0,203.5,2014-11-16,,,,,,,,,,
2420,21400150,20141117_nba_Orlando_Detroit,20141117.0,1610612753,1610612753,107.0,93.0,1,0.3759398496240602,4.5,192.5,2014-11-17,,,,,,,,,,
1795,21400153,20141117_nba_New Orleans_Portland,20141117.0,1610612740,1610612740,93.0,102.0,2,0.4081632653061224,3.5,205.0,2014-11-17,,,,,,,,,,
1323,21400152,20141117_nba_Philadelphia_San Antonio,20141117.0,1610612755,1610612755,75.0,100.0,2,0.0588235294117647,16.5,195.0,2014-11-17,,,,,,,,,,
55,21400154,20141117_nba_Chicago_L.A. Clippers,20141117.0,1610612741,1610612741,105.0,89.0,1,0.2881844380403457,7.0,198.5,2014-11-17,,,,,,,,,,
1314,21400146,20141117_nba_Dallas_Charlotte,20141117.0,1610612742,1610612742,107.0,80.0,1,0.6491228070175439,-4.0,199.0,2014-11-17,,,,,,,,,,
1796,21400147,20141117_nba_Denver_Cleveland,20141117.0,1610612743,1610612743,106.0,97.0,1,0.1256281407035175,12.0,219.0,2014-11-17,,,,,,,,,,
7276,21400149,20141117_nba_Miami_Brooklyn,20141117.0,1610612748,1610612748,95.0,83.0,1,0.248138957816377,8.0,195.5,2014-11-17,,,,,,,,,,
7772,21400148,20141117_nba_Phoenix_Boston,20141117.0,1610612756,1610612756,118.0,114.0,1,0.5652173913043478,-2.0,216.0,2014-11-17,,,,,,,,,,
9101,21400158,20141118_nba_New Orleans_Sacramento,20141118.0,1610612740,1610612740,106.0,100.0,1,0.4347826086956521,3.0,204.5,2014-11-18,,,,,,,,,,
1185,21400156,20141118_nba_New York_Milwaukee,20141118.0,1610612752,1610612752,113.0,117.0,2,0.5024875621890548,1.0,192.0,2014-11-18,,,,,,,,,,
7264,21400161,20141119_nba_L.A. Clippers_Orlando,20141119.0,1610612746,1610612746,114.0,90.0,1,0.6825396825396826,-5.0,203.5,2014-11-19,,,,,,,,,,
546,21400169,20141119_nba_L.A. Lakers_Houston,20141119.0,1610612747,1610612747,98.0,92.0,1,0.2083333333333333,9.5,210.5,2014-11-19,,,,,,,,,,
9114,21400164,20141119_nba_Milwaukee_Brooklyn,20141119.0,1610612749,1610612749,122.0,118.0,1,0.3125,6.5,199.0,2014-11-19,,,,,,,,,,
8396,21400163,20141119_nba_Dallas_Washington,20141119.0,1610612742,1610612742,105.0,102.0,1,0.6153846153846154,-3.0,204.0,2014-11-19,,,,,,,,,,
8488,21400167,20141119_nba_New York_Minnesota,20141119.0,1610612752,1610612752,99.0,115.0,2,0.5,1.0,202.0,2014-11-19,,,,,,,,,,
73,21400168,20141119_nba_Oklahoma City_Denver,20141119.0,1610612760,1610612760,100.0,107.0,2,0.2747252747252747,7.0,199.0,2014-11-19,,,,,,,,,,
9105,21400170,20141120_nba_L.A. Clippers_Miami,20141120.0,1610612746,1610612746,110.0,93.0,1,0.6428571428571428,-4.0,197.0,2014-11-20,,,,,,,,,,
8973,21400172,20141121_nba_Orlando_Charlotte,20141121.0,1610612753,1610612753,105.0,100.0,1,0.4081632653061224,4.0,191.0,2014-11-21,,,,,,,,,,
629,21400180,20141121_nba_L.A. Lakers_Dallas,20141121.0,1610612747,1610612747,106.0,140.0,2,0.16,11.0,214.5,2014-11-21,0.7,,,,,0.7,,,,
