GAME_ID,TEAM1_ID,TEAM2_ID,TEAM1_SCORE,TEAM2_SCORE,WINNER,TEAM1_FGM,TEAM1_FGA,TEAM1_FG_PCT,TEAM1_FG3M,TEAM1_FG3A,TEAM1_FG3_PCT,TEAM1_FTM,TEAM1_FTA,TEAM1_FT_PCT,TEAM1_OREB,TEAM1_DREB,TEAM1_REB,TEAM1_AST,TEAM1_STL,TEAM1_BLK,TEAM1_TO,TEAM1_PF,TEAM1_PTS,TEAM1_PLUS_MINUS,TEAM2_FGM,TEAM2_FGA,TEAM2_FG_PCT,TEAM2_FG3M,TEAM2_FG3A,TEAM2_FG3_PCT,TEAM2_FTM,TEAM2_FTA,TEAM2_FT_PCT,TEAM2_OREB,TEAM2_DREB,TEAM2_REB,TEAM2_AST,TEAM2_STL,TEAM2_BLK,TEAM2_TO,TEAM2_PF,TEAM2_PTS,TEAM2_PLUS_MINUS
22000433,1610612751,1610612756,128.0,124.0,1,47.0,82.0,4.757,20.0,40.0,3.524,14.0,15.0,5.667,4.0,33.0,37.0,28.0,4.0,4.0,10.0,11.0,128.0,20.0,48.0,88.0,5.5280000000000005,16.0,37.0,4.583,12.0,12.0,5.0,4.0,30.0,34.0,28.0,7.0,3.0,6.0,15.0,124.0,-20.0
22100341,1610612746,1610612747,119.0,115.0,1,41.0,81.0,5.138999999999999,16.0,35.0,2.5780000000000003,21.0,24.0,6.166,6.0,28.0,34.0,28.0,5.0,3.0,9.0,19.0,119.0,20.0,45.0,90.0,4.4350000000000005,12.0,33.0,3.15,13.0,21.0,1.986,13.0,30.0,43.0,28.0,8.0,3.0,11.0,19.0,115.0,-20.0
21600338,1610612748,1610612739,84.0,114.0,2,31.0,90.0,2.789,6.0,27.0,1.055,16.0,21.0,2.2969999999999997,23.0,23.0,46.0,18.0,6.0,3.0,13.0,18.0,84.0,-150.0,46.0,83.0,6.089,9.0,24.0,2.208,13.0,19.0,4.35,11.0,36.0,47.0,23.0,7.0,9.0,11.0,16.0,114.0,150.0
21300865,1610612752,1610612748,82.0,108.0,2,31.0,83.0,3.365,4.0,23.0,0.875,16.0,22.0,3.542,14.0,26.0,40.0,16.0,7.0,1.0,13.0,21.0,82.0,-130.0,45.0,74.0,5.051,6.0,15.0,2.666,12.0,18.0,3.917,3.0,36.0,39.0,18.0,5.0,3.0,12.0,22.0,108.0,130.0
21601026,1610612753,1610612756,109.0,103.0,1,42.0,96.0,4.925999999999999,7.0,23.0,1.833,18.0,21.0,6.107,8.0,35.0,43.0,21.0,10.0,4.0,12.0,27.0,109.0,30.0,38.0,87.0,3.734,2.0,14.0,0.667,25.0,30.0,4.667,12.0,37.0,49.0,18.0,9.0,8.0,16.0,22.0,103.0,-30.0
21400394,1610612757,1610612740,114.0,88.0,1,48.0,90.0,5.766000000000001,9.0,25.0,2.708,9.0,15.0,4.5,10.0,35.0,45.0,25.0,11.0,3.0,13.0,25.0,114.0,130.0,30.0,85.0,4.670999999999999,3.0,15.0,1.45,25.0,28.0,7.417,20.0,28.0,48.0,15.0,7.0,6.0,16.0,11.0,88.0,-130.0
22100427,1610612764,1610612758,105.0,119.0,2,42.0,89.0,4.529999999999999,5.0,24.0,1.0,16.0,21.0,4.6,7.0,32.0,39.0,20.0,8.0,3.0,10.0,22.0,105.0,-70.0,45.0,82.0,5.152,8.0,26.0,1.738,21.0,29.0,3.865,6.0,33.0,39.0,25.0,7.0,6.0,11.0,21.0,119.0,70.0
22000355,1610612763,1610612740,109.0,118.0,2,40.0,90.0,4.937,13.0,39.0,4.562,16.0,19.0,5.083,11.0,34.0,45.0,27.0,5.0,5.0,9.0,17.0,109.0,-45.0,45.0,87.0,4.418,15.0,33.0,2.7359999999999998,13.0,21.0,2.068,8.0,34.0,42.0,27.0,3.0,9.0,7.0,15.0,118.0,45.0
21701032,1610612746,1610612760,113.0,121.0,2,42.0,86.0,4.814,11.0,26.0,1.75,18.0,23.0,5.357,16.0,32.0,48.0,21.0,10.0,3.0,21.0,18.0,113.0,-40.0,46.0,94.0,5.097,11.0,32.0,2.6189999999999998,18.0,22.0,5.357,17.0,29.0,46.0,30.0,17.0,10.0,14.0,20.0,121.0,40.0
21500380,1610612740,1610612762,104.0,94.0,1,34.0,73.0,4.385000000000001,10.0,21.0,3.988,26.0,28.0,6.0,8.0,28.0,36.0,14.0,9.0,2.0,10.0,24.0,104.0,50.0,32.0,67.0,5.272,7.0,20.0,2.596,23.0,29.0,5.167,5.0,29.0,34.0,17.0,4.0,4.0,12.0,20.0,94.0,-50.0
21200871,1610612765,1610612740,95.0,100.0,2,39.0,78.0,5.047000000000001,7.0,19.0,2.12,10.0,16.0,3.625,11.0,29.0,40.0,26.0,6.0,3.0,14.0,21.0,95.0,-25.0,35.0,81.0,3.653,7.0,20.0,1.75,23.0,31.0,4.375,18.0,29.0,47.0,17.0,5.0,7.0,11.0,16.0,100.0,25.0
21800709,1610612746,1610612748,111.0,99.0,1,45.0,85.0,4.617,7.0,22.0,1.583,14.0,21.0,3.5,7.0,34.0,41.0,23.0,5.0,3.0,7.0,20.0,111.0,60.0,39.0,83.0,3.8190000000000004,8.0,28.0,1.666,13.0,22.0,3.367,12.0,28.0,40.0,23.0,3.0,3.0,14.0,19.0,99.0,-60.0
