"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","win_tip_prob","win_tip_prob_opp","win_tip_prob_xtip","win_tip_prob_xtip_opp"
"2016-17","Pre Season",2016-10-12,"11600048","MIL @ IND",TRUE,TRUE,1,720,"Myles Turner","1626167","IND","Thon Maker","1627748","MIL","IND","IND","IND","MIL","IND",TRUE,TRUE,TRUE,FALSE,TRUE,"Home",0.545274517733558,0.454725482266442,0.545337799610829,0.454662200389171
"2016-17","Pre Season",2016-10-12,"11600049","SAS @ ORL",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Pau Gasol","2200","SAS","SAS","SAS","SAS","ORL","SAS",FALSE,FALSE,FALSE,TRUE,FALSE,"Home",0.387781070649068,0.612218929350932,0.386157233648626,0.613842766351374
"2016-17","Pre Season",2016-10-12,"11600050","MIN vs. DEN",TRUE,TRUE,1,720,"Karl-Anthony Towns","1626157","MIN","Nikola Jokic","203999","DEN","DEN","DEN","DEN","MIN","MIN",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.532696073195242,0.467303926804757,0.523679258718533,0.476320741281467
"2016-17","Pre Season",2016-10-12,"11600051","UTA vs. PHX",TRUE,TRUE,1,720,"Rudy Gobert","203497","UTA","Alex Len","203458","PHX","PHX","UTA","UTA","PHX","PHX",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.460439483291365,0.539560516708635,0.448752919000837,0.551247080999163
"2016-17","Pre Season",2016-10-12,"11600052","HOU @ NOP",TRUE,TRUE,1,720,"Anthony Davis","203076","NOP","Nene","2403","HOU","HOU","HOU","HOU","NOP","NOP",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.384936297319283,0.615063702680717,0.402537541276912,0.597462458723087
"2016-17","Pre Season",2016-10-13,"11600053","WAS vs. PHI",TRUE,TRUE,1,720,"Marcin Gortat","101162","WAS","Joel Embiid","203954","PHI","PHI","WAS","WAS","WAS","WAS",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.605058160682095,0.394941839317905,0.622661056088707,0.377338943911293
"2016-17","Pre Season",2016-10-13,"11600054","MEM @ OKC",TRUE,TRUE,1,720,"Joffrey Lauvergne","203530","OKC","Marc Gasol","201188","MEM","OKC","OKC","MEM","MEM","MEM",TRUE,TRUE,FALSE,FALSE,FALSE,"Home",0.44293340464669,0.55706659535331,0.426915678924166,0.573084321075834
"2016-17","Pre Season",2016-10-13,"11600055","BKN vs. BOS",TRUE,TRUE,1,720,"Brook Lopez","201572","BKN","Amir Johnson","101161","BOS","BOS","BKN","BOS","BKN","BKN",FALSE,TRUE,FALSE,TRUE,TRUE,"Home",0.610979003887778,0.389020996112222,0.644640937778446,0.355359062221554
"2016-17","Pre Season",2016-10-13,"11600056","ATL vs. DET",TRUE,TRUE,1,720,"Dwight Howard","2730","ATL","Aron Baynes","203382","DET","ATL","ATL","DET","DET","ATL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.48656816191584,0.513431838084161,0.498814312081037,0.501185687918963
"2016-17","Pre Season",2016-10-13,"11600057","LAC vs. POR",TRUE,TRUE,1,720,"DeAndre Jordan","201599","LAC","Mason Plumlee","203486","POR","POR","POR","LAC","LAC","LAC",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.654183716053144,0.345816283946856,0.678802212709864,0.321197787290136
"2016-17","Pre Season",2016-10-13,"11600058","LAL vs. SAC",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Kosta Koufos","201585","SAC","SAC","SAC","LAL","LAL","SAC",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.368740116293738,0.631259883706262,0.34573692982639,0.65426307017361
"2016-17","Pre Season",2016-10-13,"11600059","CLE vs. TOR",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Jonas Valanciunas","202685","TOR","CLE","CLE","TOR","TOR","CLE",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.506494325752639,0.493505674247361,0.507004963818102,0.492995036181898
"2016-17","Pre Season",2016-10-14,"11600061","IND @ ORL",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Myles Turner","1626167","IND","IND","IND","ORL","IND","IND",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.412608307059477,0.587391692940523,0.41625086272152,0.58374913727848
"2016-17","Pre Season",2016-10-14,"11600062","CHI vs. CLE",TRUE,TRUE,1,720,"Robin Lopez","201577","CHI","Cory Jefferson","203928","CLE","CHI","CLE","CHI","CLE","CHI",TRUE,FALSE,TRUE,FALSE,TRUE,"Home",0.689976864910374,0.310023135089625,0.722463602310173,0.277536397689827
"2016-17","Pre Season",2016-10-14,"11600063","GSW @ DEN",TRUE,TRUE,1,720,"Jusuf Nurkic","203994","DEN","Zaza Pachulia","2585","GSW","DEN","GSW","GSW","DEN","GSW",TRUE,FALSE,FALSE,TRUE,FALSE,"Home",0.58104225878938,0.41895774121062,0.603916873847091,0.396083126152909
"2016-17","Pre Season",2016-10-14,"11600064","DAL @ PHX",TRUE,TRUE,1,720,"Marquese Chriss","1627737","PHX","Andrew Bogut","101106","DAL","DAL","PHX","PHX","PHX","DAL",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.402282577905146,0.597717422094853,0.385642747490793,0.614357252509207
"2016-17","Pre Season",2016-10-14,"11600065","SAS vs. MIA",TRUE,TRUE,1,720,"Pau Gasol","2200","SAS","Hassan Whiteside","202355","MIA","SAS","MIA","MIA","MIA","SAS",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.521309721838031,0.478690278161969,0.530079700994404,0.469920299005596
"2016-17","Pre Season",2016-10-15,"11600066","PHI vs. DET",TRUE,TRUE,1,720,"Joel Embiid","203954","PHI","Andre Drummond","203083","DET","DET","DET","DET","PHI","PHI",FALSE,FALSE,FALSE,TRUE,TRUE,"Home",0.420217753747762,0.579782246252238,0.417381466726708,0.582618533273292
"2016-17","Pre Season",2016-10-15,"11600067","MEM @ HOU",TRUE,TRUE,1,720,"Nene","2403","HOU","Marc Gasol","201188","MEM","MEM","MEM","HOU","HOU","MEM",FALSE,FALSE,TRUE,TRUE,FALSE,"Home",0.545855883288569,0.454144116711431,0.523938322579145,0.476061677420855
"2016-17","Pre Season",2016-10-15,"11600068","GSW @ LAL",TRUE,TRUE,1,720,"Timofey Mozgov","202389","LAL","Zaza Pachulia","2585","GSW","LAL","GSW","GSW","GSW","LAL",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.538589022458098,0.461410977541902,0.549157450690806,0.450842549309194
"2016-17","Pre Season",2016-10-15,"11600069","WAS @ SAC",TRUE,TRUE,1,720,"Willie Cauley-Stein","1626161","SAC","Marcin Gortat","101162","WAS","WAS","SAC","SAC","WAS","WAS",FALSE,TRUE,TRUE,FALSE,FALSE,"Home",0.481688792186204,0.518311207813796,0.464790355691107,0.535209644308893
"2016-17","Pre Season",2016-10-15,"11600070","NYK vs. BOS",TRUE,TRUE,1,720,"Joakim Noah","201149","NYK","Amir Johnson","101161","BOS","NYK","BOS","BOS","BOS","BOS",TRUE,FALSE,FALSE,FALSE,FALSE,"Home",0.608135900652997,0.391864099347003,0.620398032368568,0.379601967631432
"2016-17","Pre Season",2016-10-15,"11600071","MIA vs. MIN",TRUE,TRUE,1,720,"Willie Reed","203186","MIA","Karl-Anthony Towns","1626157","MIN","MIA","MIA","MIN","MIN","MIA",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.249135399967965,0.750864600032034,0.222268861889667,0.777731138110333
"2016-17","Pre Season",2016-10-15,"11600072","MIL vs. CHI",TRUE,TRUE,1,720,"Miles Plumlee","203101","MIL","Cristiano Felicio","1626245","CHI","MIL","MIL","MIL","CHI","CHI",TRUE,TRUE,TRUE,FALSE,FALSE,"Home",0.59478619150568,0.40521380849432,0.660130333133803,0.339869666866197
"2016-17","Pre Season",2016-10-16,"11600073","ATL @ ORL",TRUE,TRUE,1,720,"Bismack Biyombo","202687","ORL","Mike Muscala","203488","ATL","ORL","ORL","ATL","ATL","ORL",TRUE,TRUE,FALSE,FALSE,TRUE,"Home",0.668625785085788,0.331374214914212,0.702201130194457,0.297798869805543
"2016-17","Pre Season",2016-10-16,"11600074","MIN @ OKC",TRUE,TRUE,1,720,"Steven Adams","203500","OKC","Cole Aldrich","202332","MIN","OKC","OKC","MIN","OKC","MIN",TRUE,TRUE,FALSE,TRUE,FALSE,"Home",0.666063333614074,0.333936666385926,0.683334573697184,0.316665426302816
