"season","season_type","game_date","game_id","matchup","opening_jump","center_court","period","period_clock","home_team_jumper","home_team_person_id","home_team_abbrev","away_team_jumper","away_team_person_id","away_team_abbrev","possession","score_first","score_first_2Q","score_first_3Q","score_first_4Q","home_won_tip","home_score_first","home_score_first_2Q","home_score_first_3Q","home_score_first_4Q","location","final_win_prob_all"
"2013-14","Pre Season",2013-10-17,"11300064","WAS vs. NYK",TRUE,TRUE,1,720,"Kevin Seraphin","202338","WAS","Tyson Chandler","2199","NYK","NYK","WAS","WAS","WAS","NYK",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.31035241682339
"2013-14","Pre Season",2013-10-17,"11300065","DET @ CLE",TRUE,TRUE,1,720,"Tristan Thompson","202684","CLE","Andre Drummond","203083","DET","DET","DET","CLE","DET","DET",FALSE,FALSE,TRUE,FALSE,FALSE,"Home",0.391016049283688
"2013-14","Pre Season",2013-10-17,"11300066","OKC vs. NOP",TRUE,TRUE,1,720,"Hasheem Thabeet","201934","OKC","Anthony Davis","203076","NOP","OKC","NOP","NOP","NOP","OKC",TRUE,FALSE,FALSE,FALSE,TRUE,"Home",0.598876425069675
"2013-14","Pre Season",2013-10-17,"11300067","SAC vs. PHX",TRUE,TRUE,1,720,"DeMarcus Cousins","202326","SAC","Marcin Gortat","101162","PHX","SAC","PHX","PHX","SAC","SAC",TRUE,FALSE,FALSE,TRUE,TRUE,"Home",0.470981546946797
"2013-14","Pre Season",2013-10-17,"11300068","SAS @ ATL",TRUE,TRUE,1,720,"Al Horford","201143","ATL","Tim Duncan","1495","SAS","SAS","ATL","ATL","ATL","ATL",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.342283320382689
"2013-14","Pre Season",2013-10-17,"11300069","BKN vs. MIA",TRUE,TRUE,1,720,"Brook Lopez","201572","BKN","Chris Bosh","2547","MIA","MIA","BKN","BKN","BKN","BKN",FALSE,TRUE,TRUE,TRUE,TRUE,"Home",0.490393182731833
"2013-14","Pre Season",2013-10-18,"11300070","MEM @ ORL",TRUE,TRUE,1,720,"Nikola Vucevic","202696","ORL","Marc Gasol","201188","MEM","MEM","ORL","MEM","ORL","MEM",FALSE,TRUE,FALSE,TRUE,FALSE,"Home",0.454364160453106
"2013-14","Pre Season",2013-10-18,"11300071","CHI vs. IND",TRUE,TRUE,1,720,"Nazr Mohammed","1737","CHI","Roy Hibbert","201579","IND","IND","IND","CHI","CHI","CHI",FALSE,FALSE,TRUE,TRUE,TRUE,"Home",0.541217565255346
"2013-14","Pre Season",2013-10-18,"11300072","LAL @ GSW",TRUE,TRUE,1,720,"Andrew Bogut","101106","GSW","Pau Gasol","2200","LAL","LAL","GSW","GSW","GSW","LAL",FALSE,TRUE,TRUE,TRUE,FALSE,"Home",0.454838663647332
"2013-14","Pre Season",2013-10-18,"11300073","LAC vs. POR",TRUE,TRUE,1,720,"DeAndre Jordan","201599","LAC","Robin Lopez","201577","POR","LAC","POR","POR","POR","POR",TRUE,FALSE,FALSE,FALSE,FALSE,"Home",0.634129850097169
