"player_id","player_name","pts_rollsum_10","pts_rollsum_25","pts_rollsum_50","pts_rollsum_100","start_rollsum_10","start_rollsum_25","start_rollsum_50","start_rollsum_100","start_rollmean_10","start_rollmean_25","start_rollmean_50","start_rollmean_100","fgpct_10","fgpct_25","fgpct_50","fgpct_100","ftpct_10","ftpct_25","ftpct_50","ftpct_100","usg_10","usg_25","usg_50","usg_100","took_team_first_shot_rollmean_10","took_team_first_shot_rollmean_25","took_team_first_shot_rollmean_50","took_team_first_shot_rollmean_100","made_team_first_basket_rollmean_10","made_team_first_basket_rollmean_25","made_team_first_basket_rollmean_50","made_team_first_basket_rollmean_100","made_team_first_fgm_rollmean_10","made_team_first_fgm_rollmean_25","made_team_first_fgm_rollmean_50","made_team_first_fgm_rollmean_100","made_first_basket_rollmean_10","made_first_basket_rollmean_25","made_first_basket_rollmean_50","made_first_basket_rollmean_100","made_first_fgm_rollmean_10","made_first_fgm_rollmean_25","made_first_fgm_rollmean_50","made_first_fgm_rollmean_100"
"1630550","JT Thor",21,39,102,102,0,0,0,0,0,0,0,0,0.28,0.30952380952381,0.382978723404255,0.382978723404255,0.8,0.6,0.655172413793103,0.655172413793103,0.172150373753126,0.141366231794561,0.128559616579549,0.128559616579549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630551","Justin Champagnie",11,56,87,87,0,0,0,0,0,0,0,0,0.5,0.511627906976744,0.485714285714286,0.485714285714286,NA,1,1,1,0.113429320515204,0.111179072820936,0.119683163487088,0.119683163487088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630552","Jalen Johnson",46,113,168,168,4,4,4,4,0.4,0.16,0.08,0.08,0.465116279069767,0.447619047619048,0.466666666666667,0.466666666666667,0.666666666666667,0.666666666666667,0.68,0.68,0.113204652006888,0.133578832466388,0.151284570385844,0.151284570385844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630553","Keon Johnson",69,236,312,312,3,10,12,12,0.3,0.4,0.272727272727273,0.272727272727273,0.308641975308642,0.371308016877637,0.355345911949686,0.355345911949686,0.666666666666667,0.741935483870968,0.754385964912281,0.754385964912281,0.235312765154068,0.22552420487953,0.218548531808007,0.218548531808007,0.3,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333
"1630554","Jason Preston",14,14,14,14,0,0,0,0,0,0,0,0,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0,0,0,0,0.244600638157451,0.244600638157451,0.244600638157451,0.244600638157451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630555","Joel Ayayi",2,2,2,2,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,NA,NA,NA,NA,0.13494600954743,0.13494600954743,0.13494600954743,0.13494600954743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630556","Kessler Edwards",12,64,190,299,1,3,17,24,0.1,0.12,0.34,0.375,0.263157894736842,0.347222222222222,0.369230769230769,0.394557823129252,0.5,0.833333333333333,0.8,0.80952380952381,0.153271623479849,0.151455114940108,0.142159600223893,0.140641263643015,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.1,0.208333333333333,0.208333333333333,0.208333333333333,0.1,0.208333333333333,0.208333333333333,0.208333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
"1630557","Corey Kispert",95,250,541,815,6,18,41,48,0.6,0.72,0.82,0.5,0.473684210526316,0.513966480446927,0.48910411622276,0.46656298600311,0.5,0.769230769230769,0.795454545454545,0.833333333333333,0.124115035860044,0.127436464157632,0.141793702270971,0.141620772970666,0.1,0.08,0.0416666666666667,0.0416666666666667,0.3,0.12,0.125,0.125,0.3,0.12,0.125,0.125,0,0,0.0208333333333333,0.0208333333333333,0,0,0.0208333333333333,0.0208333333333333
"1630558","Davion Mitchell",66,166,515,1027,2,3,14,22,0.2,0.12,0.28,0.22,0.433333333333333,0.45578231292517,0.444444444444444,0.423232323232323,0.727272727272727,0.705882352941177,0.737704918032787,0.666666666666667,0.14911727685881,0.156703567642139,0.195472904760914,0.197008453161162,0.1,0.272727272727273,0.272727272727273,0.272727272727273,0.3,0.363636363636364,0.363636363636364,0.363636363636364,0.3,0.363636363636364,0.363636363636364,0.363636363636364,0.1,0.227272727272727,0.227272727272727,0.227272727272727,0.1,0.227272727272727,0.227272727272727,0.227272727272727
"1630559","Austin Reaves",123,278,506,725,2,9,28,28,0.2,0.36,0.56,0.32183908045977,0.5125,0.517441860465116,0.482142857142857,0.478701825557809,0.9,0.906666666666667,0.881118881118881,0.865979381443299,0.146556793861909,0.134394132771278,0.137305693351443,0.128051525575575,0.1,0.16,0.142857142857143,0.142857142857143,0.1,0.04,0.0357142857142857,0.0357142857142857,0.1,0.08,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0
"1630560","Cam Thomas",58,160,433,724,0,0,1,2,0,0,0.02,0.0224719101123595,0.4375,0.409448818897638,0.428169014084507,0.428115015974441,0.666666666666667,0.775862068965517,0.816666666666667,0.813664596273292,0.243962639609175,0.229450873841289,0.241108237412902,0.224804172496438,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1630561","David Duke Jr.",19,80,146,146,0,0,7,7,0,0,0.194444444444444,0.194444444444444,0.391304347826087,0.4125,0.384105960264901,0.384105960264901,0.2,0.642857142857143,0.724137931034483,0.724137931034483,0.216396803781947,0.181753186034257,0.172397946706798,0.172397946706798,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0
"1630563","Joshua Primo",70,169,305,316,6,13,17,17,0.6,0.52,0.34,0.309090909090909,0.348484848484849,0.367088607594937,0.360544217687075,0.367892976588629,0.714285714285714,0.744186046511628,0.75,0.75,0.173025826274056,0.153436189264626,0.158153620706144,0.156675503575506,0.2,0.117647058823529,0.117647058823529,0.117647058823529,0.3,0.235294117647059,0.235294117647059,0.235294117647059,0.2,0.176470588235294,0.176470588235294,0.176470588235294,0.1,0.0588235294117647,0.0588235294117647,0.0588235294117647,0,0,0,0
"1630565","Aaron Henry",2,2,2,2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.180566797026261,0.180566797026261,0.180566797026261,0.180566797026261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630567","Scottie Barnes",147,352,751,1482,9,24,48,98,0.9,0.96,0.96,0.98,0.461538461538462,0.441717791411043,0.471494607087827,0.4776,0.666666666666667,0.693877551020408,0.7265625,0.730909090909091,0.208770459265613,0.207969282109573,0.200230722784981,0.193882523014536,0.3,0.16,0.24,0.24,0.3,0.2,0.26,0.22,0.3,0.24,0.26,0.22,0.2,0.12,0.16,0.13,0.2,0.12,0.14,0.12
"1630568","Luka Garza",67,154,190,190,0,4,5,5,0,0.16,0.147058823529412,0.147058823529412,0.46,0.442622950819672,0.446666666666667,0.446666666666667,0.615384615384615,0.614035087719298,0.634920634920635,0.634920634920635,0.259950756373063,0.228704292367553,0.210835574368485,0.210835574368485,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0
"1630570","Trendon Watford",59,203,407,452,2,10,12,12,0.2,0.4,0.24,0.184615384615385,0.594594594594595,0.519736842105263,0.541666666666667,0.535384615384615,0.923076923076923,0.791666666666667,0.83,0.786324786324786,0.121823228278476,0.165953241750519,0.160497061317524,0.164466105877089,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333
"1630572","Sandro Mamukelashvili",29,94,173,185,0,1,3,3,0,0.04,0.06,0.0566037735849057,0.384615384615385,0.523076923076923,0.481203007518797,0.472222222222222,0.5,0.7,0.7,0.71875,0.176352520874806,0.169577474699045,0.15552212994936,0.152980895086589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
