"season","game_date","game_id","matchup","jumper","person_id","team_abbrev","opp_jumper","opp_person_id","opp_team_abbrev","home_team","won_tip","win_tip_prob","win_tip_prob_glmnet","win_tip_prob_earth","model","win_tip_prob_xtip"
"2016-17",2016-10-08,"11600032","MIN @ MIA","Karl-Anthony Towns","1626157","MIN","Hassan Whiteside","202355","MIA",FALSE,TRUE,0.4035946558366,0.400079383602436,0.394188349580449,"jumps_opp_jumps",0.397133866591443
"2016-17",2016-10-08,"11600033","CLE vs. PHI","Chris Andersen","2365","CLE","Joel Embiid","203954","PHI",TRUE,FALSE,0.495791270946166,0.49724679680118,0.590010824212151,"jumps_opp_jumps",0.543628810506666
"2016-17",2016-10-08,"11600032","MIN @ MIA","Hassan Whiteside","202355","MIA","Karl-Anthony Towns","1626157","MIN",TRUE,FALSE,0.5964053441634,0.599920478009927,0.606057759554864,"jumps_opp_jumps",0.602989118782396
"2016-17",2016-10-08,"11600031","NYK vs. BKN","Brook Lopez","201572","BKN","Kristaps Porzingis","204001","NYK",FALSE,FALSE,0.660757390948672,0.677454676058703,0.831882675538303,"jumps_opp_jumps",0.754668675798503
"2016-17",2016-10-08,"11600030","CHI vs. IND","Robin Lopez","201577","CHI","Myles Turner","1626167","IND",TRUE,TRUE,0.452030459411414,0.447713288061824,0.435893528698848,"jumps_opp_jumps",0.441803408380336
"2016-17",2016-10-08,"11600035","SAS vs. ATL","Edy Tavares","204002","ATL","Pau Gasol","2200","SAS",FALSE,FALSE,0.364112142644819,0.352165044846711,0.234073557706817,"jumps_opp_jumps",0.293119301276764
"2016-17",2016-10-08,"11600030","CHI vs. IND","Myles Turner","1626167","IND","Robin Lopez","201577","CHI",FALSE,FALSE,0.547969540588586,0.552286496303367,0.56437502476405,"jumps_opp_jumps",0.558330760533708
"2016-17",2016-10-08,"11600029","BOS vs. CHA","Tyler Zeller","203092","BOS","Roy Hibbert","201579","CHA",TRUE,TRUE,0.440325589594419,0.438687243850915,0.429039701160674,"jumps_opp_jumps",0.433863472505795
"2016-17",2016-10-08,"11600029","BOS vs. CHA","Roy Hibbert","201579","CHA","Tyler Zeller","203092","BOS",FALSE,FALSE,0.559674410405581,0.56131257986564,0.571203396060839,"jumps_opp_jumps",0.56625798796324
"2016-17",2016-10-09,"11600037","HOU vs. NOP","Clint Capela","203991","HOU","Anthony Davis","203076","NOP",TRUE,FALSE,0.518761085236404,0.52763079303274,0.573363616967395,"jumps_opp_jumps",0.550497205000067
"2016-17",2016-10-09,"11600037","HOU vs. NOP","Anthony Davis","203076","NOP","Clint Capela","203991","HOU",FALSE,TRUE,0.481238914763596,0.472369040171218,0.42720637932995,"jumps_opp_jumps",0.449787709750584
"2016-17",2016-10-09,"11600036","LAL vs. DEN","Timofey Mozgov","202389","LAL","Jusuf Nurkic","203994","DEN",TRUE,FALSE,0.476947174175662,0.466376548940284,0.466281851020462,"jumps_opp_jumps",0.466329199980373
"2016-17",2016-10-09,"11600036","LAL vs. DEN","Jusuf Nurkic","203994","DEN","Timofey Mozgov","202389","LAL",FALSE,TRUE,0.523052825824338,0.533623177138665,0.534043040502464,"jumps_opp_jumps",0.533833108820564
"2016-17",2016-10-10,"11600040","CLE @ ATL","Cory Jefferson","203928","CLE","Dwight Howard","2730","ATL",FALSE,FALSE,0.244538879118362,0.251627822214581,0.203979658561282,"no_jumps_opp_jumps",0.227803740387932
"2016-17",2016-10-10,"11600040","CLE @ ATL","Dwight Howard","2730","ATL","Cory Jefferson","203928","CLE",TRUE,TRUE,0.755461120881638,0.753525722851448,0.772869761553586,"jumps_opp_no_jumps",0.763197742202517
"2016-17",2016-10-10,"11600041","SAS @ DET","Pau Gasol","2200","SAS","Andre Drummond","203083","DET",FALSE,FALSE,0.41035857493606,0.394036518585216,0.382337808956736,"jumps_opp_jumps",0.388187163770976
"2016-17",2016-10-10,"11600042","LAC vs. UTA","Rudy Gobert","203497","UTA","DeAndre Jordan","201599","LAC",FALSE,TRUE,0.36629189782868,0.349833378875813,0.335595314260154,"jumps_opp_jumps",0.342714346567984
"2016-17",2016-10-10,"11600038","MIN @ CHA","Roy Hibbert","201579","CHA","Karl-Anthony Towns","1626157","MIN",TRUE,TRUE,0.502610248115793,0.501773957363226,0.505055653511948,"jumps_opp_jumps",0.503414805437587
"2016-17",2016-10-10,"11600039","NYK vs. WAS","Marcin Gortat","101162","WAS","Kristaps Porzingis","204001","NYK",FALSE,TRUE,0.563524131445227,0.581051936805747,0.638085341283366,"jumps_opp_jumps",0.609568639044557
"2016-17",2016-10-10,"11600039","NYK vs. WAS","Kristaps Porzingis","204001","NYK","Marcin Gortat","101162","WAS",TRUE,FALSE,0.436475868554773,0.418948459274285,0.36223867369123,"jumps_opp_jumps",0.390593566482758
"2016-17",2016-10-10,"11600041","SAS @ DET","Andre Drummond","203083","DET","Pau Gasol","2200","SAS",TRUE,TRUE,0.58964142506394,0.605964041382285,0.61821983509526,"jumps_opp_jumps",0.612091938238773
"2016-17",2016-10-10,"11600038","MIN @ CHA","Karl-Anthony Towns","1626157","MIN","Roy Hibbert","201579","CHA",FALSE,FALSE,0.497389751884207,0.498225879184177,0.495335955491079,"jumps_opp_jumps",0.496780917337628
"2016-17",2016-10-10,"11600042","LAC vs. UTA","DeAndre Jordan","201599","LAC","Rudy Gobert","203497","UTA",TRUE,FALSE,0.63370810217132,0.650166933610433,0.664853113897964,"jumps_opp_jumps",0.657510023754198
"2016-17",2016-10-11,"11600046","DAL vs. OKC","Enes Kanter","202683","OKC","Andrew Bogut","101106","DAL",FALSE,FALSE,0.376326057196251,0.359817453119505,0.277348326601176,"jumps_opp_jumps",0.318582889860341
"2016-17",2016-10-11,"11600046","DAL vs. OKC","Andrew Bogut","101106","DAL","Enes Kanter","202683","OKC",TRUE,TRUE,0.623673942803749,0.640182705234131,0.722735864946607,"jumps_opp_jumps",0.681459285090369
"2016-17",2016-10-11,"11600045","BKN @ MIA","Justin Hamilton","203120","BKN","Hassan Whiteside","202355","MIA",FALSE,FALSE,0.416581869567277,0.405994817849081,0.317632011708093,"jumps_opp_jumps",0.361813414778587
"2016-17",2016-10-11,"11600044","MEM vs. PHI","Marc Gasol","201188","MEM","Joel Embiid","203954","PHI",TRUE,FALSE,0.636468562997525,0.650567337340039,0.702256527944557,"jumps_opp_jumps",0.676411932642298
"2016-17",2016-10-11,"11600045","BKN @ MIA","Hassan Whiteside","202355","MIA","Justin Hamilton","203120","BKN",TRUE,TRUE,0.583418130432723,0.594005277757747,0.682419771856082,"jumps_opp_jumps",0.638212524806914
"2016-17",2016-10-11,"11600044","MEM vs. PHI","Joel Embiid","203954","PHI","Marc Gasol","201188","MEM",FALSE,TRUE,0.363531437002475,0.349432900973602,0.297991354720788,"jumps_opp_jumps",0.323712127847195
"2016-17",2016-10-11,"11600047","LAL vs. POR","Timofey Mozgov","202389","LAL","Mason Plumlee","203486","POR",TRUE,FALSE,0.492567578661132,0.483176383237178,0.475413404977983,"jumps_opp_jumps",0.479294894107581
"2016-17",2016-10-11,"11600047","LAL vs. POR","Mason Plumlee","203486","POR","Timofey Mozgov","202389","LAL",FALSE,TRUE,0.507432421338868,0.516823335994698,0.52495072960761,"jumps_opp_jumps",0.520887032801154
"2016-17",2016-10-12,"11600048","MIL @ IND","Thon Maker","1627748","MIL","Myles Turner","1626167","IND",FALSE,FALSE,0.454725482266442,0.453010415045419,0.457057400186528,"no_jumps_opp_jumps",0.455033907615973
"2016-17",2016-10-12,"11600048","MIL @ IND","Myles Turner","1626167","IND","Thon Maker","1627748","MIL",TRUE,TRUE,0.545274517733558,0.548380346071016,0.543186930536579,"jumps_opp_no_jumps",0.545783638303797
"2016-17",2016-10-12,"11600051","UTA vs. PHX","Rudy Gobert","203497","UTA","Alex Len","203458","PHX",TRUE,FALSE,0.460439483291365,0.455063797086177,0.442636140230781,"jumps_opp_jumps",0.448849968658479
"2016-17",2016-10-12,"11600052","HOU @ NOP","Nene","2403","HOU","Anthony Davis","203076","NOP",FALSE,TRUE,0.615063702680717,0.611818299269588,0.583280690607695,"jumps_opp_jumps",0.597549494938642
"2016-17",2016-10-12,"11600050","MIN vs. DEN","Nikola Jokic","203999","DEN","Karl-Anthony Towns","1626157","MIN",FALSE,TRUE,0.467303926804757,0.47052860345683,0.482301946363241,"jumps_opp_jumps",0.476415274910035
"2016-17",2016-10-12,"11600052","HOU @ NOP","Anthony Davis","203076","NOP","Nene","2403","HOU",TRUE,FALSE,0.384936297319283,0.388181672495535,0.417010690545792,"jumps_opp_jumps",0.402596181520663
"2016-17",2016-10-12,"11600050","MIN vs. DEN","Karl-Anthony Towns","1626157","MIN","Nikola Jokic","203999","DEN",TRUE,FALSE,0.532696073195243,0.529471279980714,0.518095102855617,"jumps_opp_jumps",0.523783191418166
"2016-17",2016-10-12,"11600049","SAS @ ORL","Pau Gasol","2200","SAS","Nikola Vucevic","202696","ORL",FALSE,TRUE,0.612218929350932,0.614411456083564,0.613542850056392,"jumps_opp_jumps",0.613977153069978
"2016-17",2016-10-12,"11600049","SAS @ ORL","Nikola Vucevic","202696","ORL","Pau Gasol","2200","SAS",TRUE,FALSE,0.387781070649068,0.385588654311967,0.386894893428487,"jumps_opp_jumps",0.386241773870227
"2016-17",2016-10-12,"11600051","UTA vs. PHX","Alex Len","203458","PHX","Rudy Gobert","203497","UTA",FALSE,TRUE,0.539560516708635,0.544936126210496,0.557796466952162,"jumps_opp_jumps",0.551366296581329
"2016-17",2016-10-13,"11600055","BKN vs. BOS","Brook Lopez","201572","BKN","Amir Johnson","101161","BOS",TRUE,FALSE,0.610979003887778,0.635309067510163,0.654222943703358,"jumps_opp_jumps",0.644766005606761
"2016-17",2016-10-13,"11600056","ATL vs. DET","Dwight Howard","2730","ATL","Aron Baynes","203382","DET",TRUE,TRUE,0.486568161915839,0.506418807445476,0.491488257667506,"jumps_opp_jumps",0.498953532556491
"2016-17",2016-10-13,"11600055","BKN vs. BOS","Amir Johnson","101161","BOS","Brook Lopez","201572","BKN",FALSE,TRUE,0.389020996112222,0.364690971512505,0.346165040500504,"jumps_opp_jumps",0.355428006006504
"2016-17",2016-10-13,"11600057","LAC vs. POR","Mason Plumlee","203486","POR","DeAndre Jordan","201599","LAC",FALSE,TRUE,0.345816283946856,0.318843969831405,0.323691915726252,"jumps_opp_jumps",0.321267942778829
"2016-17",2016-10-13,"11600056","ATL vs. DET","Aron Baynes","203382","DET","Dwight Howard","2730","ATL",FALSE,FALSE,0.513431838084161,0.493581404057818,0.509069736446327,"jumps_opp_jumps",0.501325570252073
"2016-17",2016-10-13,"11600053","WAS vs. PHI","Marcin Gortat","101162","WAS","Joel Embiid","203954","PHI",TRUE,FALSE,0.605058160682095,0.631403683012074,0.614246270824745,"jumps_opp_jumps",0.622824976918409
"2016-17",2016-10-13,"11600054","MEM @ OKC","Marc Gasol","201188","MEM","Joffrey Lauvergne","203530","OKC",FALSE,FALSE,0.55706659535331,0.573081867277408,0.573347336723259,"jumps_opp_jumps",0.573214602000333
"2016-17",2016-10-13,"11600059","CLE vs. TOR","Tristan Thompson","202684","CLE","Jonas Valanciunas","202685","TOR",TRUE,TRUE,0.506494325752639,0.512065933544331,0.502100010472367,"jumps_opp_jumps",0.507082972008349
"2016-17",2016-10-13,"11600058","LAL vs. SAC","Timofey Mozgov","202389","LAL","Kosta Koufos","201585","SAC",TRUE,FALSE,0.368740116293738,0.35186581753956,0.3397283227161,"jumps_opp_jumps",0.34579707012783
"2016-17",2016-10-13,"11600054","MEM @ OKC","Joffrey Lauvergne","203530","OKC","Marc Gasol","201188","MEM",TRUE,TRUE,0.44293340464669,0.426918263573309,0.427107198239442,"jumps_opp_jumps",0.427012730906376
"2016-17",2016-10-13,"11600053","WAS vs. PHI","Joel Embiid","203954","PHI","Marcin Gortat","101162","WAS",FALSE,TRUE,0.394941839317905,0.368596631256051,0.386279931952315,"jumps_opp_jumps",0.377438281604183
"2016-17",2016-10-13,"11600057","LAC vs. POR","DeAndre Jordan","201599","LAC","Mason Plumlee","203486","POR",TRUE,FALSE,0.654183716053144,0.681156412531208,0.67674453859849,"jumps_opp_jumps",0.678950475564849
"2016-17",2016-10-13,"11600058","LAL vs. SAC","Kosta Koufos","201585","SAC","Timofey Mozgov","202389","LAL",FALSE,TRUE,0.631259883706262,0.6481339039808,0.660619852075746,"jumps_opp_jumps",0.654376878028273
"2016-17",2016-10-13,"11600059","CLE vs. TOR","Jonas Valanciunas","202685","TOR","Tristan Thompson","202684","CLE",FALSE,FALSE,0.493505674247361,0.487933706816187,0.498208070770702,"jumps_opp_jumps",0.493070888793445
"2016-17",2016-10-14,"11600064","DAL @ PHX","Marquese Chriss","1627737","PHX","Andrew Bogut","101106","DAL",TRUE,FALSE,0.402282577905147,0.399213658073054,0.369798898626638,"no_jumps_opp_jumps",0.384506278349846
"2016-17",2016-10-14,"11600064","DAL @ PHX","Andrew Bogut","101106","DAL","Marquese Chriss","1627737","PHX",FALSE,TRUE,0.597717422094853,0.594695216222869,0.630398330986607,"jumps_opp_no_jumps",0.612546773604738
"2016-17",2016-10-14,"11600062","CHI vs. CLE","Robin Lopez","201577","CHI","Cory Jefferson","203928","CLE",TRUE,TRUE,0.689976864910375,0.689394688101531,0.755572294033284,"jumps_opp_jumps",0.722483491067407
"2016-17",2016-10-14,"11600065","SAS vs. MIA","Pau Gasol","2200","SAS","Hassan Whiteside","202355","MIA",TRUE,TRUE,0.521309721838031,0.527932242313143,0.532455970672433,"jumps_opp_jumps",0.530194106492788
"2016-17",2016-10-14,"11600063","GSW @ DEN","Zaza Pachulia","2585","GSW","Jusuf Nurkic","203994","DEN",FALSE,FALSE,0.41895774121062,0.404274852151822,0.388001806889484,"jumps_opp_jumps",0.396138329520653
"2016-17",2016-10-14,"11600061","IND @ ORL","Nikola Vucevic","202696","ORL","Myles Turner","1626167","IND",TRUE,FALSE,0.412608307059477,0.41491469003341,0.41776188250607,"jumps_opp_jumps",0.41633828626974
"2016-17",2016-10-14,"11600061","IND @ ORL","Myles Turner","1626167","IND","Nikola Vucevic","202696","ORL",FALSE,TRUE,0.587391692940523,0.585085281802196,0.582658197872262,"jumps_opp_jumps",0.583871739837229
"2016-17",2016-10-14,"11600065","SAS vs. MIA","Hassan Whiteside","202355","MIA","Pau Gasol","2200","SAS",FALSE,FALSE,0.478690278161969,0.472067811930964,0.467975629033495,"jumps_opp_jumps",0.470021720482229
"2016-17",2016-10-14,"11600062","CHI vs. CLE","Cory Jefferson","203928","CLE","Robin Lopez","201577","CHI",FALSE,FALSE,0.310023135089625,0.310605366833633,0.244482709188589,"jumps_opp_jumps",0.277544038011111
