"tidyplayer","tidyamericanodds","prop","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","tidyou","tidyexact_shot","tidyshot_points","game"
"Pascal Siakam",650,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Dennis Schroder",900,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Scottie Barnes",1100,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Derrick White",1100,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Jakob Poeltl",1200,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"OG Anunoby",1300,"first player to score","TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"TOR @ BOS"
"Bam Adebayo",380,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Trae Young",600,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Dejounte Murray",650,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Duncan Robinson",650,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"De'Andre Hunter",800,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Jalen Johnson",950,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Clint Capela",1000,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Kyle Lowry",1100,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Haywood Highsmith",1200,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Jaime Jaquez Jr.",1200,"first player to score","MIA","ATL",2023-11-11 20:30:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIA @ ATL"
"Giannis Antetokounmpo",270,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Khris Middleton",600,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Paolo Banchero",650,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Brook Lopez",800,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Franz Wagner",950,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Goga Bitadze",950,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Malik Beasley",1000,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Cameron Payne",1100,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Jalen Suggs",1300,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
"Markelle Fultz",1400,"first player to score","MIL","ORL",2023-11-11 19:00:00,"fanduel","nba",2023-11-11 12:26:03,NA,NA,NA,"MIL @ ORL"
