"prop","tidyplayer","tidyshot_points","tidyamericanodds","tidyawayteam","tidyhometeam","tidygamedatetime","site","sport","timestamp","game"
"fpts shot points","Scottie Barnes","two_point",850,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Scottie Barnes","three_point",4000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jakob Poeltl","two_point",850,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jakob Poeltl","three_point",10000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","OG Anunoby","two_point",1400,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","OG Anunoby","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Kristaps Porzingis","two_point",800,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Kristaps Porzingis","three_point",2000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jrue Holiday","two_point",1000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jrue Holiday","three_point",3000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jayson Tatum","two_point",1000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jayson Tatum","three_point",2000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jaylen Brown","two_point",700,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Jaylen Brown","three_point",2000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Derrick White","two_point",2000,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Derrick White","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"mgm","nba",2023-11-11 12:26:36,"TOR @ BOS"
"fpts shot points","Kyle Lowry","two_point",2500,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Kyle Lowry","three_point",2000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Bam Adebayo","two_point",350,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Bam Adebayo","three_point",10000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Duncan Robinson","two_point",3000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Duncan Robinson","three_point",1000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Haywood Highsmith","two_point",1800,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Haywood Highsmith","three_point",2200,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Clint Capela","two_point",700,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Clint Capela","three_point",10000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Jalen Johnson","two_point",1000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Jalen Johnson","three_point",5000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","De'Andre Hunter","two_point",1100,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","De'Andre Hunter","three_point",2800,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Trae Young","two_point",900,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Trae Young","three_point",2500,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Dejounte Murray","two_point",850,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Dejounte Murray","three_point",3000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Jaime Jaquez Jr.","two_point",1400,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Jaime Jaquez Jr.","three_point",5000,"MIA","ATL",2023-11-11 20:30:00,"mgm","nba",2023-11-11 12:26:36,"MIA @ ATL"
"fpts shot points","Jarrett Allen","two_point",650,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Jarrett Allen","three_point",10000,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Donovan Mitchell","two_point",850,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Donovan Mitchell","three_point",1800,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Evan Mobley","two_point",800,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Evan Mobley","three_point",10000,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Max Strus","two_point",3000,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Max Strus","three_point",1800,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Darius Garland","two_point",950,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Darius Garland","three_point",2500,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Kevon Looney","two_point",800,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Kevon Looney","three_point",10000,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Draymond Green","two_point",1200,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Draymond Green","three_point",5000,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Stephen Curry","two_point",1400,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Stephen Curry","three_point",1200,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Klay Thompson","two_point",1100,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Klay Thompson","three_point",1600,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Andrew Wiggins","two_point",900,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"fpts shot points","Andrew Wiggins","three_point",3500,"CLE","GSW",2023-11-11 21:30:00,"mgm","nba",2023-11-11 12:26:36,"CLE @ GSW"
"first player to score exact shot","Dennis Schroder","dunk",25000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Dennis Schroder","free_throw",7000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Dennis Schroder","layup",3400,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Dennis Schroder","other_fg",2100,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Dennis Schroder","three_point",4500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Derrick White","dunk",25000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Derrick White","free_throw",11000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Derrick White","layup",4100,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Derrick White","other_fg",4000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Derrick White","three_point",2600,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jakob Poeltl","dunk",11000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jakob Poeltl","free_throw",12000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jakob Poeltl","layup",2400,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jakob Poeltl","other_fg",3000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jakob Poeltl","three_point",25000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jaylen Brown","dunk",8500,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jaylen Brown","free_throw",9000,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jaylen Brown","layup",1700,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jaylen Brown","other_fg",1600,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
"first player to score exact shot","Jaylen Brown","three_point",2200,"TOR","BOS",2023-11-11 20:00:00,"fanduel","nba",2023-11-11 12:26:37,"TOR @ BOS"
